구,지역명,구분,금액(원),비고
강남구,강남더샵포레스트아파트,전달,1500,3/4일 9시 적용
강남구,개포자이아파트,전달,1500,3/4일 조정
강남구,"선경1,2차아파트",전달,1500,
강남구,포스코더샵아파트,전달,1500,
강남구,대치롯데캐슬아파트,전달,1500,
강남구,"개포우성1,2차아파트",전달,1500,
강남구,타워팰리스,전달,1000,3/4일 9시 적용
강남구,대치동부센트레빌아파트,전달,1000,3/4일 9시 적용
강남구,테헤란아이파크아파트,전달,1000,3/4일 9시 적용
강남구,개나리sk뷰5차아파트,전달,1000,3/4일 9시 적용
강남구,삼성래미안펜타빌아파트,전달,1000,3/4일 9시 적용
강남구,대치래미안하이스턴아파트,전달,1000,3/4일 9시 적용
강남구,개포우성3차아파트,전달,1000,
강남구,삼성생명일원역빌딩,전달,1000,
강남구,우성캐릭터199아파트,전달,1000,
강남구,역삼자이아파트,전달,1000,3/4일 조정
강남구,ACROHILLS논현,전달,1000,
강남구,역삼현대아이파크아파트,전달,1000,3/4일 조정
강남구,디에이치자이개포아파트,전달,1000,
강남구,한강요트투어선박장,전달,1000,
강남구,대치SK뷰아파트,전달,1000,
강남구,"쌍용대치1,2차아파트",전달,1000,
강남구,은마아파트,전달,1000,
강남구,대림아크로빌아파트,전달,1000,
강남구,우성1차아파트,전달,1000,
강남구,역삼아이파크2차아파트,전달,500,3/4일 9시 적용
강남구,대치동롯데캐슬리베아파트,전달,500,3/4일 9시 적용
강남구,청담래미안로이뷰아파트,전달,500,3/4일 9시 적용
강남구,동양파라곤아파트,전달,500,3/4일 9시 적용
강남구,알파임하우스아파트,전달,500,3/4일 9시 적용
강남구,롯데캐슬갤럭시1차아파트,전달,500,3/4일 9시 적용
강남구,롯데캐슬갤럭시2차아파트,전달,500,3/4일 9시 적용
강남구,코엑스,픽업/전달,500,
강남구,디에이치퍼스티어아이파크,전달,500,
강남구,개포더샴트리에,전달,500,
강남구,디에이치포레센트,전달,500,
강남구,개포래미안포레스트아파트,전달,500,
강남구,역삼래미안그레이튼1단지아파트,전달,500,
강남구,서울개포상록스타힐스,전달,500,
강남구,강남자곡힐스테이트아파트,전달,500,
강남구,강남에버시움아파트,전달,500,
강남구,SRT수서역,전달,500,
강남구,역삼 롯데 캐슬노블아파트,전달,500,
강남구,대치롯데캐슬리베아파트,전달,500,
강남구,역삼래미안그레이튼3차아파트,전달,500,
강남구,도곡 현대하이페리온,전달,500,
강남구,삼성동센트럴아이파크,전달,500,
강남구,래미안 라클래시,전달,500,
강남구,"래미안대치팰리스 1,2단지",전달,1000,
강남구,삼성 롯데캐슬킹덤,전달,500,
강남구,도곡렉솔아파트,전달,500,
강남구,대치아이파크아파트,전달,500,
강남구,롯데캐솔프레이어아파트,전달,500,
강남구,래미안삼성2차아파트,전달,500,
강남구,역삼래미안아파트,전달,500,
강남구,역삼E편한세상아파트,전달,500,
강남구,잠원한강공원,전달,500,
강남구,역삼푸르지오아파트,전달,500,
강남구,논현 동부센트레빌,전달,500,
강남구,논현 동양파라곤,전달,500,
강남구,개나리래미안아파트,전달,500,
강남구,역삼센트럴2차아이파크,전달,500,
강남구,개나리푸르지오아파트,전달,500,
강남구,개나리SK뷰아파트,전달,500,
강남구,청담자이아파트,전달,500,3/4일 조정
강남구,삼성동롯데아파트,전달,500,
강남구,"논현 아펠바움1,2차",전달,500,
강남구,삼성동힐스테이트1단지아파트,전달,500,
강남구,대치포스코더샵아파트,전달,500,
강남구,강남센트럴아이파크아파트,전달,500,
강남구,래미안그레이튼2차아파트,전달,500,
서초구,아크로비스타,전달,1500,3/4일 9시 적용
서초구,서초두산위브트레지움아파트,전달,1500,3/4일 9시 적용
서초구,래미안서초에스티지아파트,전달,1500,3/4일 9시 적용
서초구,서초삼성래미안아파트,전달,1500,3/4일 조정
서초구,서초롯데캐슬클래식아파트,전달,1500,3/4일 조정
서초구,반포 고속터미널역,픽업,1500,
서초구,서초아트자이아파트,전달,1000,3/4일 9시 적용
서초구,서초더샵아파트,전달,1000,3/4일 조정
서초구,반포조정면허시험장,전달,1000,
서초구,반포 한강공원1,전달,1000,
서초구,우면동 전체,전달,1000,
서초구,삼성전자 지하주차장,픽업,1000,
서초구,센트럴시티,픽업,1000,
서초구,신세계백화점 강남점,전달,1000,
서초구,남태령전원마을,전달/픽업,1000,
서초구,래미안신반포리오센트아파트,전달,500,3/4일 9시 적용
서초구,반포힐스테이트아파트,전달,500,3/4일 9시 적용
서초구,현대슈퍼빌,전달,500,
서초구,더샵오데움아파트,전달,500,
서초구,방배래미안아트힐아파트,전달,500,
서초구,잠원롯데캐슬아파트,전달,500,
서초구,서초아이파크,전달,500,
서초구,서초1차e편한세상아파트,전달,500,
서초구,방배롯데캐슬포레스트,전달,500,
서초구,메가박스,픽업,500,
서초구,황실자이아파트,전달,500,
서초구,서울남부터미널,픽업,500,
서초구,래미안원베일리,전달,500,
서초구,우면동 전체,픽업,500,
서초구,뉴코아아울렛,전달,500,
서초구,서초더샾포레,전달,500,
서초구,중앙하이츠방배빌라,전달,500,
서초구,서초포레스타5단지,전달,500,
서초구,서초포레스타 2단지,전달,500,
서초구,뉴코아아울렛 강남점,픽업,500,
서초구,반포자이아파트,전달,500,
서초구,파미에스테이션,픽업,500,
송파구,잠실역 지하상가,픽업,2000,
송파구,엠스테이트,전달,1000,
송파구,문정오벨리스크오피스텔,전달,1000,
송파구,힐스테이트송파위례,전달,1000,
송파구,롯데캐슬골드,전달,1000,
송파구,가든파이브,전달,1000,
송파구,가락농수산물종합도매시장,픽업,1000,
송파구,위례중앙푸르지오2단지아파트,전달,1000,
송파구,잠실나루역인근상가,픽업,1000,
송파구,웰니스+월드타워,전달,1000,
송파구,현대지식산업센터 C동,전달,500,
송파구,위례아이파크아파트,전달,500,
송파구,법조타운 푸르지오시티오피스텔,전달,500,
송파구,잠실파크리오아파트,전달,500,
송파구,H비지니스파크,전달,500,
송파구,문정역 테라타워,전달,500,
송파구,잠실리센츠아파트,전달,500,
송파구,송파 푸르지오시티,전달,500,
송파구,잠실파크리오아파트1단지,전달,500,
송파구,위례중앙푸르지오1단지아파트,전달,500,
송파구,"현대지식산업센터 A,B동",전달,500,
송파구,에스케이브이원,전달,500,
송파구,갤러리아팰리스,전달,500,
송파구,문정헤리움써밋타워,전달,500,
송파구,송파와이즈더샵아파트,전달,500,
송파구,테라타워,전달,500,
송파구,잠실주공5단지아파트,전달,500,
송파구,더샵스타리버,전달,500,
송파구,잠실푸르지오월드마크,전달,500,
송파구,잠실엘스아파트,전달,500,
송파구,파크하비오,전달,500,
송파구,헬리오시티,전달,500,
송파구,올림픽프라자상가,전달,500,
송파구,롯데백화점&롯데월드,픽업,500,
송파구,위례아이파크2차아파트,전달,500,
송파구,"문정엠스테이트 A,B.C동",픽업,500,
송파구,서울복합물류단지,전달,500,
송파구,서울아산병원,전달,500,
송파구,잠실올림픽공원아이파크아파트,전달,500,
송파구,송파구 한강공원,전달,500,
송파구,종합운동장,전달,500,
송파구,잠실역 지하상가2,전달,500,
송파구,잠실파크리오,전달,500,
송파구,장미아파트,전달,500,
강동구,브이센터,전달,1500,
강동구,현대백화점 천호점,픽업,1500,
강동구,강동리버스트7단지,전달,1000,
강동구,고덕센트럴푸르지오,전달,1000,
강동구,삼성엔지니어링,픽업,500,
강동구,고덕그라시움,전달,500,
강동구,고덕래미안힐스테이트,전달,500,
강동구,강동리엔파크13단지,전달,500,
강동구,중앙보훈병원,전달,500,
강동구,강동리버스트4단지,전달,500,
강동구,2001아울렛 천호점,전달,500,
강동구,고덕리엔파크3단지,전달,500,
강동구,강동신동아파밀리에,전달,500,
강동구,강동리버스트8단지,전달,500,
강동구,나비쇼핑몰,전달,500,
강동구,강일리엔파크11단지,전달,500,
강동구,고덕아르테온 상가,전달,500,
강동구,암사아리수센터,전달,500,
강동구,강동리엔파크14단지,전달,500,
강동구,강동성심병원,전달,500,
강동구,고덕아르테온상가,픽업,500,
강동구,래미안강동팰리스,전달,500,
강동구,홈플러스강동점,픽업,500,
강동구,고덕그라시움상가,픽업,500,
강동구,둔촌올림픽파크포레온,전달,500,
강동구,강동 롯데캐슬퍼스트아파트,전달,500,
강동구,올림픽파크포레온아파트,전달,500,
마포구,메세나폴리스,픽업/전달,500,
마포구,홍익대학교,전달,500,
용산구,나인원한남아파트,전달,1000,
용산구,파스쿠찌 용산더센트럴점,전달,1000,
용산구,용산센트럴파크아파트,전달,1000,
용산구,숙명여자대학교,전달,1000,
용산구,"용산센트럴파크아파트, 파스쿠찌 용산더센트럴점",전달,1000,
용산구,하얏트호텔,전달,500,
용산구,용산역,전달,500,
용산구,용산푸르지오써밋오피스텔,전달,500,
용산구,래미안첼리투스아파트,전달,500,
용산구,용산더프라임아파트,전달,500,
성동구,한양대학교,전달,500,
성동구,한양여자대학교,전달,500,
성동구,"한양대학교, 한양여자대학교",전달,500,
광진구,롯데백화점 건대스타시티점,픽업/전달,1500,
광진구,더샵스타시티,픽업/전달,1000,
광진구,현대13차폴라트리움,전달,1000,
광진구,구의동삼성쉐르빌,전달,1000,
광진구,구의아크로리버,전달,1000,
광진구,이튼타워리버3차,전달,1000,
광진구,롯데캐슬리버파크시그니처아파트,전달,1000,
광진구,한림타워,전달,1000,
광진구,래미안프리미어팰리스,전달,1000,
광진구,워커힐호텔,전달,1000,
광진구,테크노마트,픽업/전달,500,
광진구,한강,전달,500,
광진구,광진하우스토리 한강,전달,500,
광진구,세종대학교,전달,500,
광진구,이튼타워리버5차,전달,500,
광진구,광진트라팰리스,전달,500,
광진구,국립정신건강센터,전달,500,
광진구,워커힐아파트,전달,500,
광진구,서울특별시 광진구 뚝섬한강공원 배달존1,전달,500,
광진구,서울특별시 광진구 뚝섬한강공원 배달존2,전달,500,
광진구,광진구 한강공원,전달,500,
광진구,서울특별시 광진구 뚝섬한강공원 배달존,전달,500,
성북구,현대백화점 미아점,픽업,2000,
성북구,한국예술종합학교 석관동캠퍼스,전달,1500,
성북구,돈암삼부아파트,전달,1500,
성북구,한국과학기술연구원 인근,전달,1500,
성북구,길음역롯데캐슬트윈골드아파트,전달,1500,
성북구,고려대학교,전달,1000,
성북구,코업스타클래스,전달,1000,
성북구,롯데캐슬클라시아,전달,1000,
성북구,동일하이빌뉴시티,전달,1000,
성북구,꿈의숲코오롱하늘채,전달,1000,
성북구,성신여자대학교,전달,1000,
성북구,고려대학교 안암병원,전달,1000,
